,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
1109,1109,1,23:26.8,23:54.8,0 days 00:00:27.920458,32,50000,0.001604106,0.030279024,0.9999,0.003350988,1000,tiny,2,20000,1000,PRUNED
1127,1127,1,34:33.6,35:06.2,0 days 00:00:32.563887,256,50000,0.004054503,0.001266431,0.9999,0.395653962,1000,medium,4,15000,1000,PRUNED
1135,1135,1,39:26.3,39:56.5,0 days 00:00:30.180936,256,50000,0.001491024,0.010680547,0.995,1.80E-05,5000,tiny,4,20000,128,PRUNED
1147,1147,1,46:39.7,47:07.3,0 days 00:00:27.636593,64,50000,0.031739111,0.023927434,0.99,0.000219097,1000,tiny,4,20000,128,PRUNED
1170,1170,1,00:17.2,00:48.3,0 days 00:00:31.056285,16,50000,0.021278785,0.026711296,0.9999,0.000607368,1000,tiny,2,20000,128,PRUNED
1171,1171,1,00:48.3,01:17.6,0 days 00:00:29.332021,64,50000,0.02711396,0.018607899,0.9999,0.00047863,1000,tiny,8,20000,128,PRUNED
1176,1176,1,03:17.7,03:50.6,0 days 00:00:32.948132,64,50000,0.001182265,0.013089764,0.9999,0.000325089,1000,tiny,2,20000,128,PRUNED
1191,1191,1,12:23.4,12:55.3,0 days 00:00:31.845200,32,50000,0.039305043,0.029403612,0.98,0.000410074,1000,tiny,4,20000,4,PRUNED
1201,1201,1,17:42.5,18:11.6,0 days 00:00:29.144659,32,50000,0.027221058,0.0276709,0.98,0.000124678,1000,tiny,4,20000,16,PRUNED
1221,1221,1,29:03.1,29:42.1,0 days 00:00:39.040613,32,50000,0.003926784,0.037475487,0.995,0.408201572,1000,tiny,4,20000,1,PRUNED
1225,1225,1,31:28.9,32:01.1,0 days 00:00:32.241668,256,50000,0.025736321,0.002921638,0.995,0.025725721,1000,tiny,2,20000,128,PRUNED
1226,1226,1,32:01.1,32:29.0,0 days 00:00:27.871511,256,50000,0.032969952,0.016344876,0.98,1.29E-05,1000,tiny,4,20000,128,PRUNED
