,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_vf_coef,state
318,318,61,24:13.6,25:59.6,0 days 00:01:46.001189,tanh,64,0.1,4.36E-08,0.98,0.995,0.00056645,0.5,5,2048,large,FALSE,0.001000153,PRUNED
78,78,60,28:16.4,31:07.3,0 days 00:02:50.894643,tanh,64,0.4,1.51E-08,0.98,0.995,0.000468695,0.9,10,512,large,FALSE,0.001245852,PRUNED
158,158,60,13:49.9,18:28.9,0 days 00:04:38.947713,tanh,64,0.4,7.15E-06,0.98,0.9999,0.000655669,0.3,20,1024,large,FALSE,0.000327374,PRUNED
80,80,59,33:46.0,36:41.0,0 days 00:02:54.959702,tanh,64,0.4,3.40E-08,0.98,0.9999,0.000973366,5,10,64,large,TRUE,0.002026881,PRUNED
154,154,59,49:28.6,03:42.4,0 days 00:14:13.843355,relu,16,0.4,1.86E-07,0.98,0.995,0.00046252,0.9,10,512,large,FALSE,0.005027148,PRUNED
261,261,59,30:26.7,42:19.7,0 days 00:11:53.032467,relu,16,0.4,3.81E-08,0.98,0.995,0.000152302,0.9,10,512,large,FALSE,0.001064109,PRUNED
328,328,59,23:48.5,27:40.7,0 days 00:03:52.129236,tanh,64,0.4,1.13E-07,0.99,0.99,0.000116325,0.9,5,2048,large,TRUE,0.012870642,COMPLETE
75,75,58,20:12.7,23:05.0,0 days 00:02:52.354476,tanh,64,0.1,6.84E-08,0.98,0.995,0.00010294,0.9,10,512,large,FALSE,0.000985742,PRUNED
150,150,58,09:57.4,15:55.1,0 days 00:05:57.711500,relu,16,0.4,4.96E-08,0.95,0.999,0.000572707,0.7,5,2048,large,FALSE,0.002196338,PRUNED
161,161,58,45:41.6,48:34.2,0 days 00:02:52.598303,tanh,64,0.4,1.38E-08,0.98,0.995,0.000236418,0.9,10,512,large,FALSE,0.000571605,PRUNED
192,192,58,47:56.1,05:38.5,0 days 00:17:42.410753,relu,16,0.4,1.37E-07,0.98,0.995,0.000300022,0.7,5,2048,large,FALSE,0.004286237,COMPLETE
211,211,58,19:02.5,24:32.7,0 days 00:05:30.180043,tanh,64,0.4,1.56E-07,0.98,0.995,0.000165833,0.9,20,512,large,FALSE,0.000891918,PRUNED
233,233,58,55:27.3,08:55.1,0 days 00:13:27.789293,relu,16,0.4,1.43E-07,0.95,0.995,0.000346143,2,10,32,large,FALSE,0.194103639,PRUNED
331,331,58,35:57.4,37:33.3,0 days 00:01:35.866130,relu,256,0.4,1.11E-06,0.98,0.995,0.000256404,0.5,10,512,large,FALSE,0.000185075,PRUNED
79,79,57,31:07.3,33:46.0,0 days 00:02:38.719295,tanh,64,0.4,5.78E-08,1,0.995,0.000225711,0.3,10,1024,large,FALSE,0.000542959,PRUNED
96,96,57,49:43.7,53:12.8,0 days 00:03:29.080864,relu,64,0.4,7.60E-07,0.98,0.9999,0.000436326,0.3,10,512,large,FALSE,0.006069713,PRUNED
151,151,57,15:55.1,19:18.8,0 days 00:03:23.666734,relu,64,0.4,1.38E-06,0.98,0.995,0.000346403,0.9,10,256,large,FALSE,0.009815289,PRUNED
237,237,57,44:05.3,49:25.9,0 days 00:05:20.574408,tanh,64,0.3,1.04E-07,0.95,0.999,0.000766361,0.9,20,256,large,FALSE,0.054659513,PRUNED
263,263,57,49:19.8,54:34.8,0 days 00:05:14.931118,tanh,64,0.4,5.99E-08,0.95,0.999,7.79E-05,0.9,20,128,large,FALSE,0.001748288,PRUNED
282,282,57,36:00.4,39:52.3,0 days 00:03:51.885925,relu,128,0.4,2.25E-07,0.98,0.995,0.000538505,0.7,10,64,large,FALSE,0.001010014,PRUNED
294,294,57,49:26.6,02:32.3,0 days 00:13:05.643131,relu,16,0.4,2.25E-07,0.99,0.99,0.000745877,0.9,20,512,small,FALSE,0.000717829,PRUNED
163,163,56,51:26.6,54:22.1,0 days 00:02:55.502798,tanh,64,0.4,1.02E-08,0.98,0.995,0.000376859,0.9,10,512,large,FALSE,0.000430998,PRUNED
209,209,56,45:33.8,11:27.4,0 days 00:25:53.604669,relu,16,0.4,0.000121603,0.98,0.995,0.000227031,0.6,20,256,large,FALSE,0.000636937,PRUNED
213,213,56,30:07.4,35:45.8,0 days 00:05:38.381314,tanh,64,0.4,1.13E-07,0.98,0.995,6.33E-05,0.9,20,512,large,FALSE,0.000400652,PRUNED
259,259,56,18:29.2,26:42.6,0 days 00:08:13.303250,relu,64,0.4,1.48E-07,0.99,0.99,0.001194465,2,10,512,large,FALSE,0.091485895,COMPLETE
271,271,56,47:32.9,59:30.3,0 days 00:11:57.338502,relu,16,0.4,7.55E-08,0.95,0.999,0.000122468,0.9,10,32,large,FALSE,0.517795228,PRUNED
308,308,56,12:22.5,35:23.6,0 days 00:23:01.078621,relu,16,0.4,3.64E-07,0.98,0.995,6.32E-05,0.9,20,256,large,TRUE,0.001180849,PRUNED
48,48,55,56:00.2,09:42.9,0 days 00:13:42.759335,relu,8,0.4,9.88E-08,0.99,0.99,0.000202008,1,5,2048,small,FALSE,0.934245604,COMPLETE
87,87,55,00:04.1,03:49.4,0 days 00:03:45.306538,tanh,64,0.4,2.80E-07,0.98,0.995,0.000284213,0.8,20,2048,medium,FALSE,0.000163351,PRUNED
91,91,55,27:13.2,30:33.8,0 days 00:03:20.598069,relu,64,0.4,1.42E-07,0.98,0.995,0.000138958,0.9,10,512,large,FALSE,0.008839707,PRUNED
178,178,55,31:46.2,33:19.3,0 days 00:01:33.163844,tanh,64,0.4,1.25E-07,0.98,0.995,8.05E-05,0.5,5,128,medium,FALSE,0.007477918,PRUNED
90,90,54,24:34.1,27:13.2,0 days 00:02:39.146514,tanh,64,0.1,4.39E-08,0.98,0.995,0.001488898,0.7,10,1024,large,FALSE,0.000598544,PRUNED
103,103,54,39:47.8,43:19.8,0 days 00:03:31.999256,relu,64,0.4,4.06E-08,0.98,0.995,0.000174745,0.9,10,512,large,FALSE,0.018641854,PRUNED
160,160,54,42:24.8,45:41.6,0 days 00:03:16.778024,tanh,32,0.3,3.52E-08,0.99,0.99,0.000153719,5,5,64,large,FALSE,0.011347729,PRUNED
162,162,54,48:34.2,51:26.6,0 days 00:02:52.386911,tanh,64,0.4,2.11E-08,0.98,0.995,0.00027881,0.9,10,512,large,FALSE,0.000814074,PRUNED
204,204,54,27:24.7,29:14.6,0 days 00:01:49.932936,tanh,64,0.4,8.80E-08,0.98,0.995,0.002965676,2,5,512,large,FALSE,0.000282433,PRUNED
