,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
1373,1373,54,20:55.5,23:56.9,0 days 00:03:01.395551,256,10000,0.005396849,0.192496891,0.95,0.001467062,1000,small,1,5000,8,COMPLETE
1410,1410,54,39:54.9,44:26.0,0 days 00:04:31.131705,512,100000,0.024488296,0.095215756,0.9,0.001152989,1000,large,1,5000,16,COMPLETE
1489,1489,54,26:52.5,30:27.8,0 days 00:03:35.288886,512,10000,0.002942907,0.007462958,0.9,0.001233194,0,tiny,1,5000,4,COMPLETE
1769,1769,54,35:22.0,38:51.1,0 days 00:03:29.086495,512,10000,0.05261405,0.004905912,0.9,0.00251532,10000,tiny,1,5000,1,COMPLETE
1936,1936,54,18:41.6,22:10.2,0 days 00:03:28.613827,512,10000,0.041429699,0.029155339,0.9,0.000655982,5000,tiny,8,5000,1,COMPLETE
2704,2704,54,04:10.5,07:54.4,0 days 00:03:43.954730,512,50000,0.002504715,0.002073878,0.9,0.001016604,1000,small,1,5000,1,COMPLETE
346,346,53,22:12.7,26:08.1,0 days 00:03:55.423099,512,10000,0.027480209,0.013650725,0.9,0.001650216,20000,medium,1,5000,16,COMPLETE
425,425,53,01:22.7,04:53.3,0 days 00:03:30.539908,512,100000,0.013947853,0.003497278,0.9,0.000911807,1000,tiny,1,5000,1,COMPLETE
427,427,53,08:20.4,11:45.3,0 days 00:03:24.942595,512,100000,0.013428969,0.003768169,0.9,0.000575411,1000,tiny,1,5000,1,COMPLETE
475,475,53,15:58.1,19:33.4,0 days 00:03:35.313052,512,100000,0.011652654,0.002847533,0.9,0.001279406,1000,small,1,5000,1,COMPLETE
669,669,53,56:59.5,00:28.5,0 days 00:03:29.032917,512,50000,0.013140722,0.022078879,0.9,0.000475704,5000,tiny,1,5000,1,COMPLETE
726,726,53,54:00.2,58:47.8,0 days 00:04:47.611217,512,100000,0.013619527,0.020098175,0.9,0.000995817,5000,large,1,5000,1,COMPLETE
819,819,53,10:28.1,13:51.7,0 days 00:03:23.616784,512,10000,0.041677806,0.005976293,0.9,0.000351395,0,small,1,5000,16,COMPLETE
1455,1455,53,14:39.3,18:59.7,0 days 00:04:20.414633,512,50000,0.012930417,0.002671884,0.9,0.002502822,5000,medium,2,5000,1,COMPLETE
2560,2560,53,32:00.7,34:54.6,0 days 00:02:53.947120,256,10000,0.022443122,0.005413946,0.9,0.000300605,1000,tiny,1,10000,16,COMPLETE
2917,2917,53,52:47.8,57:00.3,0 days 00:04:12.552844,512,10000,0.074700833,0.001502345,0.9,0.000954884,10000,medium,1,5000,4,COMPLETE
3141,3141,53,02:04.5,06:43.2,0 days 00:04:38.658170,512,50000,0.015370906,0.003907842,0.9,0.001008442,1000,large,8,5000,1,COMPLETE
413,413,52,19:30.9,23:00.0,0 days 00:03:29.124326,512,100000,0.015670003,0.005673715,0.9,0.00075367,1000,tiny,1,5000,1,COMPLETE
739,739,52,27:57.3,31:32.5,0 days 00:03:35.193197,512,1000000,0.017708956,0.122985595,0.9,0.001235355,1000,tiny,1,15000,1,COMPLETE
1156,1156,52,06:04.1,09:38.1,0 days 00:03:34.002297,512,10000,0.066361703,0.016738132,0.9,0.0008018,1000,small,1,5000,16,COMPLETE
