,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_vf_coef,state
175,175,572,04:57.9,22:27.2,0 days 00:17:29.340551,tanh,32,0.1,1.05E-06,0.99,0.995,4.23E-05,0.5,20,1024,medium,TRUE,1.55E-07,COMPLETE
319,319,561,06:05.9,22:23.3,0 days 01:16:17.382236,relu,8,0.1,2.55E-07,0.99,0.995,1.67E-05,0.5,20,512,medium,TRUE,9.13E-07,COMPLETE
300,300,555,35:44.3,42:36.3,0 days 00:06:52.071626,relu,128,0.3,1.30E-08,0.99,0.995,7.71E-05,0.9,20,2048,medium,TRUE,1.59E-06,COMPLETE
577,577,537,23:40.8,27:06.7,0 days 00:03:25.875093,relu,256,0.3,1.53E-07,0.99,0.995,0.001198926,0.7,20,2048,small,TRUE,4.72E-07,COMPLETE
510,510,528,51:10.6,59:52.0,0 days 00:08:41.368093,tanh,128,0.3,2.57E-07,0.99,0.99,3.64E-05,5,20,2048,medium,TRUE,8.82E-07,COMPLETE
124,124,524,26:26.0,29:56.9,0 days 00:03:30.871695,relu,256,0.3,1.92E-07,0.99,0.99,1.44E-05,0.9,20,2048,medium,TRUE,4.21E-07,COMPLETE
35,35,510,40:29.2,47:40.7,0 days 00:07:11.438682,relu,128,0.2,4.42E-06,0.9,0.9999,5.16E-05,0.9,10,64,large,TRUE,6.11E-05,COMPLETE
364,364,501,27:17.7,42:47.3,0 days 00:15:29.630787,tanh,32,0.1,1.44E-08,0.99,0.99,2.40E-05,1,20,2048,medium,TRUE,0.000288941,COMPLETE
640,640,491,30:53.9,37:31.7,0 days 00:06:37.726773,tanh,32,0.3,1.93E-08,0.99,0.995,3.02E-05,0.8,20,2048,medium,TRUE,4.18E-07,PRUNED
611,611,473,34:15.5,43:28.7,0 days 00:09:13.239131,relu,32,0.3,2.30E-07,0.99,0.995,2.52E-05,0.7,20,1024,large,TRUE,0.037119177,PRUNED
316,316,471,19:04.8,36:02.3,0 days 01:16:57.466835,relu,8,0.1,6.64E-08,0.99,0.995,1.98E-05,0.5,20,512,medium,TRUE,1.26E-06,COMPLETE
560,560,471,00:45.1,04:46.1,0 days 00:04:00.933052,relu,256,0.2,8.41E-07,0.8,0.995,1.24E-05,0.9,20,2048,medium,TRUE,0.000327676,COMPLETE
161,161,470,49:40.7,07:34.9,0 days 00:17:54.213929,relu,32,0.3,5.27E-07,0.99,0.995,3.16E-05,0.8,20,2048,medium,TRUE,3.01E-07,COMPLETE
181,181,470,02:50.3,22:16.5,0 days 00:19:26.188694,tanh,32,0.1,2.09E-06,0.99,0.995,2.34E-05,0.5,20,1024,medium,TRUE,1.22E-07,COMPLETE
533,533,468,08:45.2,10:34.3,0 days 00:01:49.031989,tanh,256,0.3,1.83E-08,0.99,0.99,0.000245555,0.9,20,2048,medium,TRUE,6.44E-07,PRUNED
417,417,461,15:55.0,18:53.7,0 days 00:02:58.736431,relu,128,0.3,1.53E-07,1,0.99,2.01E-05,0.5,20,2048,medium,TRUE,0.041960058,PRUNED
475,475,459,00:13.9,03:54.1,0 days 00:03:40.233439,tanh,128,0.1,9.65E-07,0.99,0.995,1.20E-05,0.6,20,1024,medium,TRUE,0.000701372,PRUNED
43,43,452,35:06.2,41:28.7,0 days 00:06:22.428968,relu,128,0.2,9.70E-08,0.8,0.9999,1.75E-05,0.3,10,64,large,TRUE,9.61E-05,COMPLETE
345,345,451,53:00.1,54:39.7,0 days 00:01:39.584205,relu,256,0.1,1.06E-08,0.99,0.99,1.20E-05,0.8,20,2048,medium,TRUE,5.20E-06,PRUNED
106,106,445,31:00.8,34:25.1,0 days 00:03:24.274713,relu,256,0.3,1.07E-07,0.99,0.99,1.73E-05,0.9,20,2048,medium,TRUE,3.83E-06,COMPLETE
413,413,444,02:36.8,05:38.0,0 days 00:03:01.196404,relu,128,0.3,9.86E-08,0.99,0.99,0.00037421,0.7,20,2048,medium,TRUE,3.24E-06,PRUNED
528,528,443,36:33.2,44:02.7,0 days 00:07:29.525834,relu,32,0.3,2.66E-08,0.99,0.99,3.50E-05,2,20,2048,medium,TRUE,0.000278473,PRUNED
379,379,442,04:40.5,12:15.0,0 days 00:07:34.496811,relu,32,0.3,0.000241098,0.99,0.995,1.23E-05,0.9,20,2048,medium,TRUE,6.54E-07,PRUNED
107,107,438,34:25.1,37:49.6,0 days 00:03:24.575294,relu,256,0.3,1.23E-07,0.99,0.99,1.54E-05,0.9,20,2048,medium,TRUE,2.57E-06,COMPLETE
381,381,438,29:39.9,37:01.4,0 days 00:07:21.582771,tanh,32,0.1,1.64E-05,0.99,0.99,3.08E-05,0.6,20,512,medium,TRUE,2.60E-05,PRUNED
270,270,433,05:35.4,15:43.6,0 days 01:10:08.167409,relu,8,0.1,1.11E-06,0.99,0.99,1.18E-05,0.8,20,512,medium,TRUE,0.000165069,COMPLETE
111,111,432,47:19.0,51:06.2,0 days 00:03:47.228077,relu,256,0.3,1.27E-07,0.99,0.99,1.37E-05,0.9,20,2048,medium,TRUE,2.16E-06,COMPLETE
529,529,431,44:02.7,47:48.8,0 days 00:03:46.086765,tanh,128,0.3,7.56E-08,0.99,0.99,0.000569855,0.9,20,2048,medium,TRUE,1.37E-06,PRUNED
