,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
1561,1561,50,50:21.1,51:12.6,0 days 00:00:51.477411,512,10000,0.01428186,0.375965251,0.995,0.00105049,5000,medium,1,1000,128,PRUNED
1897,1897,50,33:50.1,34:36.2,0 days 00:00:46.054421,100,1000000,0.015974702,0.036072817,0.995,0.000745697,0,small,1,15000,256,PRUNED
2321,2321,50,13:48.1,14:29.5,0 days 00:00:41.380169,512,1000000,0.19979926,0.319972223,0.98,0.00306515,5000,tiny,1,15000,1,PRUNED
2439,2439,50,42:29.8,43:16.6,0 days 00:00:46.845347,128,100000,0.099193106,0.002161008,0.99,0.001658686,0,small,1,15000,8,PRUNED
2686,2686,50,50:16.8,50:54.6,0 days 00:00:37.844222,64,100000,0.031413004,0.05984758,0.9,0.002704078,10000,large,4,15000,8,PRUNED
2734,2734,50,27:01.4,28:14.6,0 days 00:01:13.202625,64,100000,0.002133317,0.178537367,0.99,0.017466043,10000,small,4,1000,1,COMPLETE
2905,2905,50,28:33.8,29:15.0,0 days 00:00:41.214428,64,10000,0.065675091,0.188864799,0.999,0.002483531,10000,small,1,15000,256,PRUNED
3157,3157,50,14:53.8,15:34.0,0 days 00:00:40.264750,100,50000,0.123638821,0.008680427,0.99,0.002019875,5000,small,2,15000,4,PRUNED
3518,3518,50,34:47.5,35:22.9,0 days 00:00:35.420783,64,100000,0.004235663,0.169716982,0.99,0.036454719,5000,small,8,15000,256,PRUNED
575,575,49,31:35.9,32:59.0,0 days 00:01:23.160055,64,1000000,0.002478106,0.213442425,0.9999,5.70E-05,10000,large,1,15000,256,COMPLETE
1320,1320,49,36:59.1,38:09.5,0 days 00:01:10.324254,64,100000,0.011454962,0.001250093,0.98,0.002658619,5000,small,1,20000,16,COMPLETE
1715,1715,49,59:20.5,00:28.1,0 days 00:01:07.595355,64,50000,0.005991727,0.001281701,0.99,0.007120018,5000,large,1,10000,1,PRUNED
1819,1819,49,30:24.9,31:15.9,0 days 00:00:50.987652,100,10000,0.011796869,0.005999182,0.99,0.00069158,5000,small,1,10000,1,PRUNED
1837,1837,49,44:53.0,45:55.1,0 days 00:01:02.060560,512,10000,0.00703011,0.013540963,0.999,0.001194011,5000,medium,4,10000,1,PRUNED
1863,1863,49,06:13.5,07:05.9,0 days 00:00:52.409874,64,10000,0.004914211,0.347336521,0.9999,0.001000974,0,small,1,5000,1,PRUNED
2001,2001,49,58:47.5,59:26.8,0 days 00:00:39.289698,100,1000000,0.013874026,0.001140811,0.99,0.001808797,5000,small,4,15000,4,PRUNED
