,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_lr,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_vf_coef,state
39,39,60.0,2023-04-27 00:03:58.678609,2023-04-27 00:05:15.903754,0 days 00:01:17.225145,relu,1.7558729842023867e-06,0.9999,0.999,1.4970143701167885e-05,0.3557169544170024,1024,small,False,True,0.11681643524825601,COMPLETE
40,40,1.0,2023-04-27 00:05:15.905753,2023-04-27 00:06:00.586457,0 days 00:00:44.680704,relu,4.018120804831968e-06,0.95,0.995,3.320581941270905e-05,0.5602073056974057,16,tiny,False,True,0.17215254348561854,PRUNED
41,41,1.0,2023-04-27 00:06:00.587455,2023-04-27 00:06:46.760601,0 days 00:00:46.173146,relu,1.4847957922388977e-06,0.9999,0.999,1.3121710772052577e-05,0.3547249463550701,1024,small,False,True,0.10998892217307274,PRUNED
42,42,1.0,2023-04-27 00:06:46.761602,2023-04-27 00:07:33.416621,0 days 00:00:46.655019,relu,1.9522594679693127e-06,0.9999,0.999,1.549372223720982e-05,0.30624815358771357,1024,small,False,True,0.11694078423573827,PRUNED
43,43,1.0,2023-04-27 00:07:33.417618,2023-04-27 00:08:20.591610,0 days 00:00:47.173992,relu,1.1280831096093124e-06,0.9999,0.999,1.5702771363358546e-05,0.3930330047834414,1024,small,False,True,0.13360074799649332,PRUNED
44,44,17.0,2023-04-27 00:08:20.593611,2023-04-27 00:09:13.795023,0 days 00:00:53.201412,relu,8.914374315369758e-06,0.9999,0.999,2.543437669863374e-05,0.4763762890902385,32,small,False,True,0.11368398659231245,PRUNED
45,45,4.0,2023-04-27 00:09:13.796022,2023-04-27 00:10:00.381087,0 days 00:00:46.585065,relu,2.8294509906643094e-05,0.9,0.98,3.9949419595073605e-05,0.3560058036774311,1024,small,False,True,0.15127402246376934,PRUNED
46,46,1.0,2023-04-27 00:10:00.382085,2023-04-27 00:10:46.967596,0 days 00:00:46.585511,relu,2.435728483305256e-06,0.995,0.9999,5.836613799608688e-05,0.30187427948739165,256,small,False,True,0.1004386308305291,PRUNED
47,47,1.0,2023-04-27 00:10:46.968597,2023-04-27 00:11:36.674962,0 days 00:00:49.706365,relu,4.252308163506064e-06,0.98,0.999,1.020202983357234e-05,0.431650714578303,32,small,False,True,0.12490175035105759,PRUNED
48,48,22.0,2023-04-27 00:11:36.675961,2023-04-27 00:12:23.695807,0 days 00:00:47.019846,relu,1.0559460703368694e-06,0.99,0.99,1.360655137163878e-05,0.3412636914147333,512,tiny,False,True,0.1394691855769801,PRUNED
49,49,1.0,2023-04-27 00:12:23.696810,2023-04-27 00:13:10.299840,0 days 00:00:46.603030,tanh,6.106751956906873e-06,0.95,0.9,2.8847112498406878e-05,0.40181421969155473,1024,small,False,True,0.1605174007421838,PRUNED
50,50,1.0,2023-04-27 00:13:10.300838,2023-04-27 00:14:00.095922,0 days 00:00:49.795084,relu,2.0967338080677398e-06,0.9999,0.999,1.792397008956579e-05,0.4772860579217637,128,large,True,False,0.11401773520789163,PRUNED
51,51,55.0,2023-04-27 00:14:00.096922,2023-04-27 00:15:19.071508,0 days 00:01:18.974586,tanh,7.139853656559661e-06,0.999,0.9,2.20504104675278e-05,0.3333746236575212,64,large,True,False,0.10010127412430875,COMPLETE
52,52,71.0,2023-04-27 00:15:19.072511,2023-04-27 00:16:37.106062,0 days 00:01:18.033551,tanh,7.659083704414037e-06,0.999,0.9,1.3110274023189173e-05,0.3340124216975598,64,large,True,False,0.10688551007644821,COMPLETE
53,53,1.0,2023-04-27 00:16:37.108060,2023-04-27 00:17:28.450038,0 days 00:00:51.341978,tanh,4.254108577109844e-06,0.999,0.9,1.287945152065475e-05,0.3316332666063351,64,large,True,False,0.1098658038621309,PRUNED
54,54,11.0,2023-04-27 00:17:28.451038,2023-04-27 00:18:24.935889,0 days 00:00:56.484851,tanh,1.786645609349057e-05,0.999,0.9,1.3479864968063762e-05,0.37600037490579796,32,large,True,False,0.12959495839723395,PRUNED
55,55,1.0,2023-04-27 00:18:24.936891,2023-04-27 00:19:15.256854,0 days 00:00:50.319963,tanh,1.1932538797833557e-05,0.999,0.9,1.0083499606064838e-05,0.30003122675333566,64,large,True,False,0.11810597011803435,PRUNED
56,56,0.0,2023-04-27 00:19:15.257854,2023-04-27 00:20:10.414677,0 days 00:00:55.156823,tanh,2.7109555281622708e-06,0.999,0.995,1.8645634673326703e-05,0.4167665918154852,64,large,True,False,0.14360623048056267,PRUNED
57,57,1.0,2023-04-27 00:20:10.415675,2023-04-27 00:20:59.232742,0 days 00:00:48.817067,tanh,3.6273889685655364e-05,0.9999,0.9999,3.8973518890511275e-05,0.5810156804000675,1024,large,True,False,0.10699409378887212,PRUNED
58,58,19.0,2023-04-27 00:20:59.233742,2023-04-27 00:21:48.658858,0 days 00:00:49.425116,tanh,5.484273365054551e-06,0.9,0.9,2.665598557669379e-05,0.4363809150608692,256,tiny,True,False,0.12622953534680018,PRUNED
59,59,1.0,2023-04-27 00:21:48.659857,2023-04-27 00:22:40.655937,0 days 00:00:51.996080,tanh,9.20992604393708e-06,0.98,0.98,1.1855796774890543e-05,0.5021556875358668,32,large,True,False,0.1584272284695567,PRUNED
60,60,1.0,2023-04-27 00:22:40.657939,2023-04-27 00:23:29.973668,0 days 00:00:49.315729,tanh,1.5028768399495758e-06,0.999,0.9,1.7340335687174225e-05,0.34104569243349897,16,small,True,True,0.17888733432062004,PRUNED
61,61,1.0,2023-04-27 00:23:29.974626,2023-04-27 00:24:20.988106,0 days 00:00:51.013480,tanh,7.314737377015276e-06,0.999,0.9,2.1331160619239205e-05,0.33252675985154817,64,large,True,False,0.10707995324067907,PRUNED
62,62,59.0,2023-04-27 00:24:20.990107,2023-04-27 00:25:39.071978,0 days 00:01:18.081871,tanh,3.301779555718989e-06,0.999,0.9,2.221822321508069e-05,0.37694387529301354,64,large,True,False,0.10141516465856262,COMPLETE
